channels,kernel_size,dropout,weight_decay,val_loss,best_epoch,epochs_run
64,3,0.5,0.0001,5.8546246129034785,5,13
32,5,0.3,0.0001,5.855063785734188,4,12
64,4,0.5,0.0001,5.855115281824072,7,15
128,3,0.4,0.0015,5.855437577278983,5,13
32,5,0.4,0.001,5.8555921509263,4,12
64,8,0.5,0.001,5.855670411461889,6,14
64,8,0.5,0.0015,5.855936418061715,6,14
64,4,0.4,0.0001,5.856813722347952,10,18
128,5,0.5,0.0015,5.856827850899365,17,25
128,3,0.4,0.0001,5.857028919073609,4,12
128,3,0.3,0.001,5.857039781493769,5,13
128,5,0.4,0.001,5.857042997966585,11,19
32,12,0.4,0.0015,5.858518594655862,5,13
128,3,0.4,0.001,5.858762338013364,4,12
32,5,0.4,0.0001,5.859046892475123,4,12
64,5,0.4,0.0001,5.859533175481222,9,17
128,5,0.4,0.0015,5.859573633749215,5,13
128,3,0.3,0.0015,5.859681580156705,4,12
32,12,0.3,0.0015,5.85978452819564,5,13
128,3,0.3,0.0001,5.860209039880936,5,13
64,8,0.4,0.001,5.86064138946812,6,14
128,5,0.4,0.0001,5.860981493426008,5,13
32,12,0.4,0.001,5.860991757912119,5,13
128,3,0.5,0.0001,5.86129086490961,4,12
32,8,0.4,0.0015,5.861294610201224,19,27
64,5,0.3,0.001,5.862063235400219,9,17
32,12,0.5,0.001,5.862128295503493,4,12
128,3,0.5,0.001,5.862442570685179,5,13
32,12,0.3,0.001,5.862467989997074,5,13
32,4,0.3,0.0001,5.862826842193046,5,13
64,5,0.3,0.0015,5.8628757682409995,9,17
128,3,0.5,0.0015,5.8630170613055395,4,12
64,5,0.5,0.0001,5.863017624101163,9,17
128,4,0.5,0.0001,5.863518926316144,7,15
32,24,0.5,0.001,5.863574740947672,10,18
64,8,0.3,0.0001,5.863997347317137,6,14
32,24,0.3,0.001,5.864179294669817,10,18
32,4,0.4,0.001,5.864316114118997,5,13
32,4,0.3,0.001,5.864367065708472,5,13
64,8,0.5,0.0001,5.864552700563122,6,14
64,24,0.5,0.0001,5.864690856143705,5,13
32,4,0.4,0.0001,5.864725279604764,5,13
32,12,0.5,0.0015,5.8648871518807635,4,12
32,5,0.5,0.0015,5.865081916047072,4,12
32,24,0.5,0.0015,5.8651320580007384,10,18
32,12,0.5,0.0001,5.865190518178254,4,12
32,5,0.5,0.001,5.865226517931697,8,16
128,2,0.4,0.0015,5.865588056329687,7,15
128,5,0.5,0.001,5.865615110594811,6,14
32,4,0.4,0.0015,5.865742217318294,5,13
32,4,0.3,0.0015,5.865881246422734,5,13
32,12,0.4,0.0001,5.866186510776051,12,20
64,24,0.5,0.0015,5.866237539321584,5,13
32,8,0.5,0.0015,5.866425253441795,12,20
32,4,0.5,0.0015,5.866697225442903,5,13
64,8,0.3,0.0015,5.866789626726715,6,14
64,12,0.4,0.0001,5.8670495706411865,6,14
32,8,0.3,0.001,5.867058594247165,12,20
32,12,0.3,0.0001,5.867801342753922,5,13
128,2,0.4,0.001,5.8681253074292865,7,15
